"id","neighbourhood_name","state","state_lga_id","latitude","longitude","created_at","updated_at"
"696","Asari-Toru","Rivers","429","4.7456","6.8458",NULL,NULL
"697","Buguma","Rivers","429","4.7403","6.8619",NULL,NULL
"698","Asari Toru","Rivers","429","5","6.8458",NULL,NULL
"699","Okrika","Rivers","430","4.7406","7.0848",NULL,NULL
"700","Ikwerre","Rivers","431","5.1478","6.878",NULL,NULL
"701","Isiokpo","Rivers","431","5.0568","6.9236",NULL,NULL
"702","Ikwerre ","Rivers","431","5.1478","6.878",NULL,NULL
"703","Aluu","Rivers","431","4.9339","6.9437",NULL,NULL
"704","Bonny","Rivers","434","4.4295","7.1952",NULL,NULL
"705","Oyigbo","Rivers","435","4.8869","7.1252",NULL,NULL
"706","Port Harcourt","Rivers","436","4.8472","6.9746",NULL,NULL
"707","Port - Harcourt","Rivers","436","4.8472","6.9746",NULL,NULL
"708","Diobu","Rivers","436","4.7986","6.9921",NULL,NULL
"709","Degema","Rivers","437","4.7554","6.7668",NULL,NULL
"710","Khana","Rivers","438","4.6476","7.3949",NULL,NULL
"711","Tai","Rivers","439","4.7518","7.2437",NULL,NULL
"712","Eleme","Rivers","440","4.7939","7.1575",NULL,NULL
"713","Ogale","Rivers","440","4.7864","7.1332",NULL,NULL
"714","Oduoha-Emohua","Rivers","441","4.8851","6.8612",NULL,NULL
"715","Obelle","Rivers","441","5.0101","6.8177",NULL,NULL
"716","Emohua","Rivers","441","4.8851","6.8612",NULL,NULL
"717","Ndele","Rivers","441","4.9721","6.7454",NULL,NULL
"718","Etche","Rivers","442","5.0632","7.0498",NULL,NULL
"719","Oshi","Rivers","442","5.0972","6.4873",NULL,NULL
"720","Gokana","Rivers","443","4.6692","7.2869",NULL,NULL
"721","Gokana ","Rivers","443","4.6692","7.2869",NULL,NULL
"722","Bodo","Rivers","443","4.6335","7.2707",NULL,NULL
"723","Ibeno","Akwa Ibom","444","4.5778","8.1557",NULL,NULL
"724","Alkaleri","Bauchi","444","10.2713","10.3301",NULL,NULL
"725","Duguri","Bauchi","444","9.6539","10.7471",NULL,NULL
"726","Bauchi","Bauchi","445","10.31","9.8404",NULL,NULL
"728","Rafin Zurfi","Bauchi","445","10.2592","9.786",NULL,NULL
"729","Gwallameji area","Bauchi","445","10.2558","9.7782",NULL,NULL
"730","Kangere","Bauchi","445","10.2589","9.9989",NULL,NULL
"731","Bogoro","Bauchi","446","9.6679","9.6049",NULL,NULL
"732","Boi","Bauchi","446","9.5751","9.478",NULL,NULL
"733","Dambam","Bauchi","447","11.6412","10.7549",NULL,NULL
"734","Darazo","Bauchi","448","10.9965","10.4088",NULL,NULL
"735","Dass","Bauchi","449","9.9894","9.5006",NULL,NULL
"736","Bagel","Bauchi","449","10.0472","9.5962",NULL,NULL
"737","Ganjuwa","Bauchi","451","10.8578","10.1704",NULL,NULL
"738","Miya","Bauchi","451","10.8959","9.8292",NULL,NULL
"739","Itas/Gadau","Bauchi","453","11.9343","10.1255",NULL,NULL
"740","Gumau","Bauchi","461","10.2552","9.0157",NULL,NULL
"741","Jamaare","Bauchi","454","11.6697","9.9283",NULL,NULL
"742","katagum","Bauchi","455","12.2857","10.3484",NULL,NULL
"743","Kirfi","Bauchi","456","10.3562","10.5296",NULL,NULL
"744","Misau","bauchi","457","11.314","10.4652",NULL,NULL
"745","Ningi","Bauchi","458","11.0716","9.5729",NULL,NULL
"746","Shira","Bauchi","459","11.4615","10.0457",NULL,NULL
"747","Tafawa Balewa","Bauchi","460","9.756","9.5562",NULL,NULL
"748","Toro","Bauchi","461","10.0596","9.0709",NULL,NULL
"749","Warji","Bauchi","462","11.1805","9.7539",NULL,NULL
"750","Zaki","Bauchi","463","12.1081","10.3049",NULL,NULL
"751","Aniocha North","Delta","464","6.3545","6.4874",NULL,NULL
"752","Issele-Uku Umunede, Aniocha","Delta","464","6.3197","6.4663",NULL,NULL
"753","Issele-Azagba","Delta","464","6.2679","6.597",NULL,NULL
"754","Aniocha South","Delta","465","6.1283","6.4833",NULL,NULL
"755","Isselle Asagba","Delta","465","6.2679","6.597",NULL,NULL
"756","Ogwashi-Uku","Delta","465","6.1816","6.5303",NULL,NULL
"757","Bomadi","Delta","466","5.1697","5.9297",NULL,NULL
"758","Burutu","Delta","467","5.351","5.5066",NULL,NULL
"759","Ogriagbene Community ","Delta","467","5.1616","5.6741",NULL,NULL
"760","Ethiope East","Delta","468","5.6782","5.9621",NULL,NULL
